MusicTagName,MP4,Vorbis,WMA,ID3v24,ID3v23,APEv2,SplitChars,JoinChars
AcoustidFingerprint,*:ACOUSTID FINGERPRINT,ACOUSTID_FINGERPRINT,Acoustid/Fingerprint,TXXX:ACOUSTID FINGERPRINT,TXXX:ACOUSTID FINGERPRINT,AcoustId_Fingerprint,"; /","; "
AcoustidId,*:ACOUSTID ID,ACOUSTID_ID,Acoustid/Id,TXXX:ACOUSTID ID,TXXX:ACOUSTID ID,AcoustId_Id,"; /","; "
AlbumArtist,aART,ALBUMARTIST,WM/AlbumArtist,TPE2,TPE2,AlbumArtist|Album Artist,,
AlbumArtistSort,soaa,ALBUMARTISTSORT,WM/AlbumArtistSortOrder|ALBUMARTISTSORT,TSO2,TSO2,AlbumArtistSort,,
AlbumTitle,©alb,ALBUM,WM/AlbumTitle,TALB,TALB,Album,,
AlbumTitleSort,soal,ALBUMSORT,WM/AlbumSortOrder,TSOA,TSOA,AlbumSort,,
AmazonId,*:ASIN,ASIN,ASIN,TXXX:ASIN,TXXX:ASIN,ASIN,"; /","; "
Arranger,*:ARRANGER,ARRANGER,ARRANGER,TIPL:arranger|TXXX:ARRANGER,IPLS:arranger|TXXX:ARRANGER,Arranger,"; /"," / "
Barcode,*:BARCODE|*:UPC,BARCODE,WM/Barcode,TXXX:BARCODE,TXXX:BARCODE,Barcode,"; /","; "
CatalogNumber,*:CATALOGNUMBER,CATALOGNUMBER,WM/CatalogNo,TXXX:CATALOGNUMBER,TXXX:CATALOGNUMBER,CatalogNumber,"; /","; "
Comment,©cmt,COMMENT,Description,COMM,COMM,Comment,,
Composer,©wrt,COMPOSER,WM/Composer,TCOM,TCOM,Composer,"; /"," / "
ComposerSort,soco,COMPOSERSORT,WM/ComposerSortOrder|COMPOSERSORT,TSOC,TSOC,ComposerSort,"; /"," / "
Conductor,©con|*:CONDUCTOR,CONDUCTOR,WM/Conductor,TPE3,TPE3,Conductor,"; /"," / "
Copyright,cprt,COPYRIGHT,Copyright,TCOP,TCOP,Copyright,"; /"," / "
DiscogsReleaseId,*:DISCOGS_RELEASE_ID,DISCOGS_RELEASE_ID,DISCOGS_RELEASE_ID,TXXX:DISCOGS_RELEASE_ID,TXXX:DISCOGS_RELEASE_ID,Discogs_Release_Id,"; /","; "
DiscSubTitle,*:DISCSUBTITLE|*:Disc Title,DISCSUBTITLE,WM/SetSubTitle,TSST,,DiscSubTitle,,
DiscNumber,disk,DISCNUMBER,WM/PartOfSet,TPOS,TPOS,DiscNumber|Disc,,
DiscCount,disk,TOTALDISCS|DISCTOTAL,TOTALDISCS,TOTALDISCS,TOTALDISCS,TotalDiscs,,
Engineer,*:ENGINEER,ENGINEER,WM/Engineer|ENGINEER,TIPL:engineer|TXXX:ENGINEER,IPLS:engineer|TXXX:ENGINEER,Engineer,"; /"," / "
Genre,©gen,GENRE,WM/Genre,TCON,TCON,Genre,"; /","; "
InvolvedPeople,*:INVOLVEDPEOPLE,,INVOLVEDPEOPLE,TIPL:xxxx,IPLS:xxxx,,,
ISRC,*:ISRC,ISRC,WM/ISRC,TSRC,TSRC,ISRC,"; /","; "
Language,*:LANGUAGE,LANGUAGE,WM/Language,TLAN,TLAN,Language,"; /","; "
Lyricist,*:LYRICIST,LYRICIST,WM/Writer,TEXT,TEXT,Lyricist,"; /"," / "
Lyrics,©lyr|*:unsynced lyrics,UNSYNCEDLYRICS|LYRICS|UNSYNCED LYRICS,WM/Lyrics,USLT|SYLT|TXXX:LYRICS,USLT|SYLT|TXXX:LYRICS,UnsyncedLyrics|Lyrics|Unsynced lyrics,,
MediaType,*:MEDIATYPE|*:MEDIA,MEDIATYPE|MEDIA,WM/Media|MEDIATYPE,TMED,TMED,MediaType|Media,"; /","; "
MixedBy,*:MIXER,MIXER,WM/Mixer|MIXER,TIPL:mix|TXXX:MIXER,IPLS:mix|TXXX:MIXER,Mixer,"; /"," / "
MovementName,©mvn,MOVEMENTNAME,MOVEMENTNAME,MVNM,MVNM,MovementName,,
MovementNumber,©mvi,MOVEMENT,MOVEMENT,MVIN,MVIN,Movement,,
MovementCount,©mvc,MOVEMENTTOTAL,MOVEMENTTOTAL,MOVEMENTTOTAL,MOVEMENTTOTAL,MovementTotal,,
MusicBrainzAlbumArtistId,*:MusicBrainz Album Artist Id,MUSICBRAINZ_ALBUMARTISTID,MusicBrainz/Album Artist Id|MUSICBRAINZ_ALBUMARTISTID,TXXX:MUSICBRAINZ ALBUM ARTIST ID|TXXX:MUSICBRAINZ_ALBUMARTISTID,TXXX:MUSICBRAINZ ALBUM ARTIST ID|TXXX:MUSICBRAINZ_ALBUMARTISTID,MusicBrainz_AlbumArtistId,"; /","; "
MusicBrainzAlbumId,*:MusicBrainz Album Id,MUSICBRAINZ_ALBUMID,MusicBrainz/Album Id|MUSICBRAINZ_ALBUMID,TXXX:MUSICBRAINZ ALBUM ID|TXXX:MUSICBRAINZ_ALBUMID,TXXX:MUSICBRAINZ ALBUM ID|TXXX:MUSICBRAINZ_ALBUMID,MusicBrainz_AlbumId,"; /","; "
MusicBrainzAlbumReleaseCountry,*:MusicBrainz Album Release Country,MUSICBRAINZ_ALBUMRELEASECOUNTRY|RELEASECOUNTRY,MusicBrainz/Album Release Country|MUSICBRAINZ_ALBUMRELEASECOUNTRY|RELEASECOUNTRY,TXXX:MUSICBRAINZ ALBUM RELEASE COUNTRY|TXXX:RELEASECOUNTRY,TXXX:MUSICBRAINZ ALBUM RELEASE COUNTRY|TXXX:RELEASECOUNTRY,MusicBrainz_AlbumReleaseCountry|RELEASECOUNTRY,"; /","; "
MusicBrainzDiscId,*:MusicBrainz Disc Id,MUSICBRAINZ_DISCID,MusicBrainz/Disc Id|MUSICBRAINZ_DISCID,TXXX:MUSICBRAINZ DISC ID|TXXX:MUSICBRAINZ_DISCID,TXXX:MUSICBRAINZ DISC ID|TXXX:MUSICBRAINZ_DISCID,MusicBrainz_DiscId,"; /","; "
MusicBrainzReleaseGroupId,*:MusicBrainz Release Group Id,MUSICBRAINZ_RELEASEGROUPID,MusicBrainz/Release Group Id|MUSICBRAINZ_RELEASEGROUPID,TXXX:MUSICBRAINZ RELEASE GROUP ID|TXXX:MUSICBRAINZ_RELEASEGROUPID,TXXX:MUSICBRAINZ RELEASE GROUP ID|TXXX:MUSICBRAINZ_RELEASEGROUPID,MusicBrainz_ReleaseGroupId,"; /","; "
MusicBrainzReleaseStatus,*:MusicBrainz Album Status,MUSICBRAINZ_RELEASESTATUS|RELEASESTATUS,MusicBrainz/Album Status|RELEASESTATUS,TXXX:MUSICBRAINZ ALBUM STATUS|TXXX:RELEASESTATUS,TXXX:MUSICBRAINZ ALBUM STATUS|TXXX:RELEASESTATUS,MusicBrainz_AlbumStatus|RELEASESTATUS,"; /","; "
MusicBrainzReleaseTrackId,*:MusicBrainz Release Track Id,MUSICBRAINZ_RELEASETRACKID,MusicBrainz/Release Track Id|MUSICBRAINZ_RELEASETRACKID,TXXX:MUSICBRAINZ RELEASE TRACK ID|TXXX:MUSICBRAINZ_RELEASETRACKID,TXXX:MUSICBRAINZ RELEASE TRACK ID|TXXX:MUSICBRAINZ_RELEASETRACKID,MusicBrainz_ReleaseTrackId,"; /","; "
MusicBrainzReleaseType,*:MusicBrainz Album Type,MUSICBRAINZ_RELEASETYPE|RELEASETYPE,MusicBrainz/Album Type|RELEASETYPE,TXXX:MUSICBRAINZ ALBUM TYPE|TXXX:RELEASETYPE,TXXX:MUSICBRAINZ ALBUM TYPE|TXXX:RELEASETYPE,MusicBrainz_AlbumType|RELEASETYPE,"; /",
MusicBrainzTrackArtistId,*:MusicBrainz Artist Id,MUSICBRAINZ_ARTISTID,MusicBrainz/Artist Id|MUSICBRAINZ_ARTISTID,TXXX:MUSICBRAINZ ARTIST ID|TXXX:MUSICBRAINZ_ARTISTID,TXXX:MUSICBRAINZ ARTIST ID|TXXX:MUSICBRAINZ_ARTISTID,MusicBrainz_ArtistId,"; /","; "
MusicBrainzTrackId,*:MusicBrainz Track Id,MUSICBRAINZ_TRACKID,MusicBrainz/Track Id|MUSICBRAINZ_TRACKID,UFID:http://musicbrainz.org,UFID:http://musicbrainz.org,MusicBrainz_TrackId,"; /","; "
MusicBrainzWorkId,*:MusicBrainz Work Id,MUSICBRAINZ_WORKID,MusicBrainz/Work Id|MUSICBRAINZ_WORKID,TXXX:MUSICBRAINZ WORK ID|TXXX:MUSICBRAINZ_WORKID,TXXX:MUSICBRAINZ WORK ID|TXXX:MUSICBRAINZ_WORKID,MusicBrainz_WorkId,"; /","; "
MusicianCredits,*:MUSICIANCREDITS|*:PERFORMER,MUSICIANCREDITS|PERFORMER,MUSICIANCREDITS|Performer,TMCL|TXXX:MUSICIANCREDITS|TXXX:PERFORMER,IPLS|TXXX:MUSICIANCREDITS|TXXX:PERFORMER|TIPL,MusicianCredits|Performer,,
OriginalAlbumTitle,*:ORIGINALALBUM|*:ORIGALBUM,ORIGINALALBUM|ORIGALBUM,WM/OriginalAlbumTitle,TOAL,TOAL,OriginalAlbum|OrigAlbum,,
OriginalArtist,*:ORIGINALARTIST|*:ORIGARTIST,ORIGINALARTIST|ORIGARTIST,WM/OriginalArtist,TOPE,TOPE,OriginalArtist|OrigArtist,,
OriginalReleaseDate,*:ORIGINALDATE|*:ORIGYEAR,ORIGINALDATE|ORIGYEAR,WM/OriginalReleaseTime|WM/OriginalReleaseYear,TDOR,TDOR|TORY,OriginalDate|OrigYear,";","; "
OriginalReleaseYear,*:ORIGINALYEAR,ORIGINALYEAR,WM/OriginalReleaseYear,TXXX:ORIGINALYEAR,TXXX:ORIGINALYEAR,OriginalYear,";","; "
Producer,*:PRODUCER,PRODUCER,WM/Producer,TIPL:producer|TXXX:PRODUCER,IPLS:producer|TXXX:PRODUCER,Producer,"; /"," / "
R128AlbumGain,,R128_ALBUM_GAIN,,,,,,
R128TrackGain,,R128_TRACK_GAIN,,,,,,
RecordLabel,*:LABEL|©pub,LABEL|ORGANIZATION,WM/Publisher,TPUB,TPUB,Label|Publisher,"; /","; "
ReleaseDate,*:RELEASEDATE,RELEASEDATE,,TDRL,TXXX:RELEASEDATE,ReleaseDate,";","; "
RemixedBy,*:REMIXER|*:MIXARTIST,REMIXER|MIXARTIST,WM/ModifiedBy|MIXARTIST,TPE4,TPE4,Remixer|MixArtist,"; /","; "
ReplayGainAlbumGain,*:REPLAYGAIN_ALBUM_GAIN,REPLAYGAIN_ALBUM_GAIN,REPLAYGAIN_ALBUM_GAIN,TXXX:REPLAYGAIN_ALBUM_GAIN,TXXX:REPLAYGAIN_ALBUM_GAIN,ReplayGain_Album_Gain,,
ReplayGainAlbumPeak,*:REPLAYGAIN_ALBUM_PEAK,REPLAYGAIN_ALBUM_PEAK,REPLAYGAIN_ALBUM_PEAK,TXXX:REPLAYGAIN_ALBUM_PEAK,TXXX:REPLAYGAIN_ALBUM_PEAK,ReplayGain_Album_Peak,,
ReplayGainTrackGain,*:REPLAYGAIN_TRACK_GAIN,REPLAYGAIN_TRACK_GAIN,REPLAYGAIN_TRACK_GAIN,TXXX:REPLAYGAIN_TRACK_GAIN,TXXX:REPLAYGAIN_TRACK_GAIN,ReplayGain_Track_Gain,,
ReplayGainTrackPeak,*:REPLAYGAIN_TRACK_PEAK,REPLAYGAIN_TRACK_PEAK,REPLAYGAIN_TRACK_PEAK,TXXX:REPLAYGAIN_TRACK_PEAK,TXXX:REPLAYGAIN_TRACK_PEAK,ReplayGain_Track_Peak,,
Script,*:SCRIPT,SCRIPT,WM/Script,TXXX:SCRIPT,TXXX:SCRIPT,Script,"; /","; "
SubTitle,*:SUBTITLE,SUBTITLE,WM/SubTitle,TIT3,TIT3,Subtitle,,
TrackArtist,©ART,ARTIST,Author,TPE1,TPE1,Artist,,
TrackArtistSort,soar,ARTISTSORT,WM/ArtistSortOrder,TSOP,TSOP,ArtistSort,,
TrackTitle,©nam,TITLE,Title,TIT2,TIT2,Title,,
TrackTitleSort,sonm,TITLESORT,WM/TitleSortOrder,TSOT,TSOT,TitleSort,,
TrackNumber,trkn,TRACKNUMBER,WM/TrackNumber,TRCK,TRCK,Track,,
TrackCount,trkn,TOTALTRACKS|TRACKTOTAL,TOTALTRACKS,TOTALTRACKS,TOTALTRACKS,TotalTracks,,
WorkTitle,©wrk,WORK,WM/Work,TXXX:WORK,TXXX:WORK,Work,,
Writer,*:WRITER,WRITER,WRITER,TXXX:Writer,TXXX:WRITER,Writer,"; /"," / "
YearReleased,©day,DATE,WM/Year,TDRC,TDRC|TYER,Year,,
# my custom tags,,,,,,,,
AllMusicAlbumId,*:ACK_ALLMUSIC_ALBUM_ID,ACK_ALLMUSIC_ALBUM_ID,ACK/AllMusicAlbumId,TXXX:ACK_ALLMUSIC_ALBUM_ID,TXXX:ACK_ALLMUSIC_ALBUM_ID,ACKAllMusicAlbumId,"; /","; "
AllMusicArtistId,*:ACK_ALLMUSIC_ARTIST_ID,ACK_ALLMUSIC_ARTIST_ID,ACK/AllMusicArtistId,TXXX:ACK_ALLMUSIC_ARTIST_ID,TXXX:ACK_ALLMUSIC_ARTIST_ID,ACKAllMusicArtistId,"; /","; "
DigitalPurchaseDate,*:ACK_DIGITAL_PURCHASE_DATE,ACK_DIGITAL_PURCHASE_DATE,ACK/DigitalPurchaseDate,TXXX:ACK_DIGITAL_PURCHASE_DATE,TXXX:ACK_DIGITAL_PURCHASE_DATE,ACKDigitalPurchaseDate,,
DigitalPurchaseFrom,*:ACK_DIGITAL_PURCHASE_FROM,ACK_DIGITAL_PURCHASE_FROM,ACK/DigitalPurchaseFrom,TXXX:ACK_DIGITAL_PURCHASE_FROM,TXXX:ACK_DIGITAL_PURCHASE_FROM,ACKDigitalPurchaseFrom,,
DigitalPurchaseId,*:ACK_DIGITAL_PURCHASE_ID,ACK_DIGITAL_PURCHASE_ID,ACK/DigitalPurchaseId,TXXX:ACK_DIGITAL_PURCHASE_ID,TXXX:ACK_DIGITAL_PURCHASE_ID,ACKDigitalPurchaseId,,
DiscogsAlbumId,*:ACK_DISCOGS_ALBUM_ID,ACK_DISCOGS_ALBUM_ID,ACK/DiscogsAlbumId,TXXX:ACK_DISCOGS_ALBUM_ID,TXXX:ACK_DISCOGS_ALBUM_ID,ACKDiscogsAlbumId,"; /","; "
DiscogsArtistId,*:ACK_DISCOGS_ARTIST_ID,ACK_DISCOGS_ARTIST_ID,ACK/DiscogsArtistId,TXXX:ACK_DISCOGS_ARTIST_ID,TXXX:ACK_DISCOGS_ARTIST_ID,ACKDiscogsArtistId,"; /","; "
IMDbArtistId,*:ACK_IMDB_ARTIST_ID,ACK_IMDB_ARTIST_ID,ACK/IMDbArtistId,TXXX:ACK_IMDB_ARTIST_ID,TXXX:ACK_IMDB_ARTIST_ID,ACKIMDbArtistId,"; /","; "
RecordedDate,*:ACK_RECORDED_DATE,ACK_RECORDED_DATE,ACK/RecordedDate,TXXX:ACK_RECORDED_DATE,TXXX:ACK_RECORDED_DATE,ACKRecordedDate,,
ReleasedDate,*:ACK_RELEASED_DATE,ACK_RELEASED_DATE,ACK/ReleasedDate,TXXX:ACK_RELEASED_DATE,TXXX:ACK_RELEASED_DATE,ACKReleasedDate,,
WikidataAlbumId,*:ACK_WIKIDATA_ALBUM_ID,ACK_WIKIDATA_ALBUM_ID,ACK/WikidataAlbumId,TXXX:ACK_WIKIDATA_ALBUM_ID,TXXX:ACK_WIKIDATA_ALBUM_ID,ACKWikidataAlbumId,"; /","; "
WikidataArtistId,*:ACK_WIKIDATA_ARTIST_ID,ACK_WIKIDATA_ARTIST_ID,ACK/WikidataArtistId,TXXX:ACK_WIKIDATA_ARTIST_ID,TXXX:ACK_WIKIDATA_ARTIST_ID,ACKWikidataArtistId,"; /","; "
WikipediaAlbumId,*:ACK_WIKIPEDIA_ALBUM_ID,ACK_WIKIPEDIA_ALBUM_ID,ACK/WikipediaAlbumId,TXXX:ACK_WIKIPEDIA_ALBUM_ID,TXXX:ACK_WIKIPEDIA_ALBUM_ID,ACKWikipediaAlbumId,";","; "
WikipediaArtistId,*:ACK_WIKIPEDIA_ARTIST_ID,ACK_WIKIPEDIA_ARTIST_ID,ACK/WikipediaArtistId,TXXX:ACK_WIKIPEDIA_ARTIST_ID,TXXX:ACK_WIKIPEDIA_ARTIST_ID,ACKWikipediaArtistId,";","; "
# junk tags,,,,,,,,
Artists,*:ARTISTS,ARTISTS,WM/ARTISTS,TXXX:ARTISTS,TXXX:ARTISTS,Artists,,
Codec,*:cdec,,,,,,,
Cover,covr,METADATA_BLOCK_PICTURE,WM/Picture,APIC,APIC,Cover Art (Front),,
Description,desc,,,,,,,
EncodedBy,*:encoded by,ENCODED BY,,TENC,TENC,Encoded by,,
Encoder,©too,ENCODER,ENCODER,ENCODER,ENCODER,ENCODER,,
EncodingSettings,*:encoding settings,ENCODER_OPTIONS,,,,,,
FileOwner,*:OWNER|*:FILEOWNER,OWNER|FILEOWNER,,TOWN,TOWN,Owner|FileOwner,,
iTunSMPB,*:iTunSMPB,,,,,,,
OriginalFileName,*:ORIGINALFILENAME|*:ORIGFILENAME,ORIGINALFILENAME|ORIGFILENAME,WM/OriginalFilename,TOFN,TOFN,OriginalFilename|OrigFilename,,
Rating,*:Rating,RATING,Rating,RATING,RATING,RATING,,
RipDate,*:Rip date,,,,,,,
RippingTool,*:Ripping tool,,,,,,,
Source,*:Source,SOURCE,SOURCE,SOURCE,SOURCE,SOURCE,,
